goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     501	   2388627 ns/op	  120610 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     498	   2395553 ns/op	  120613 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     500	   2393405 ns/op	  120611 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     501	   2388015 ns/op	  120610 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     500	   2398444 ns/op	  120611 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     500	   2388137 ns/op	  120611 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     500	   2386417 ns/op	  120611 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     500	   2397159 ns/op	  120611 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     502	   2388441 ns/op	  120609 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     499	   2388067 ns/op	  120612 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     504	   2358439 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     507	   2356835 ns/op	   38685 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     506	   2361443 ns/op	   38685 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     505	   2375159 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     498	   2380432 ns/op	   38690 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     506	   2404330 ns/op	   38685 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     507	   2380381 ns/op	   38687 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     499	   2374755 ns/op	   38689 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     504	   2375003 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     504	   2371191 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4677650 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4671801 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4737598 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     252	   4725972 ns/op	   51876 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     253	   4697543 ns/op	   51876 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4738437 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     254	   4708521 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     252	   4709377 ns/op	   51871 B/op	      93 allocs/op
