goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101161624 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101386667 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101256062 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101365656 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101201884 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101217879 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101274465 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101049560 ns/op	   40402 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     258	   4650237 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     256	   4657286 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     256	   4650790 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     258	   4641079 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     258	   4638750 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     256	   4650109 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     258	   4633034 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     258	   4642071 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     258	   4646644 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24              	     256	   4660891 ns/op	   51868 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7579421 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7590445 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7589638 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7592055 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7592152 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7608006 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7623686 ns/op	   64046 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7655117 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     156	   7590002 ns/op	   64054 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24     	     157	   7589712 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24      	    3940	    305301 ns/op	   10202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24      	    3938	    305324 ns/op	   10205 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24      	    3889	    305688 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24      	    3931	    306661 ns/op	   10205 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24      	    3902	    305915 ns/op	   10202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24      	    3891	    304431 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24      	    3904	    305302 ns/op	   10205 B/op	      73 allocs/op
