goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     501	   2380735 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     504	   2392121 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     502	   2371950 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     498	   2407959 ns/op	  120613 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     500	   2390638 ns/op	  120611 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     498	   2434304 ns/op	  120610 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     494	   2480138 ns/op	  120616 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     498	   2424309 ns/op	  120615 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     499	   2422595 ns/op	  120612 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     489	   2419370 ns/op	  120620 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     495	   2409741 ns/op	  120615 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     498	   2400036 ns/op	  120610 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24              	     488	   2405097 ns/op	  120602 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     505	   2368137 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     505	   2381205 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     501	   2362646 ns/op	   38689 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     501	   2369435 ns/op	   38686 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     499	   2381950 ns/op	   38690 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     505	   2379996 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     505	   2363852 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     502	   2385086 ns/op	   38689 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     501	   2377149 ns/op	   38689 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                         	     496	   2373588 ns/op	   38691 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4679853 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24                  	     255	   4693235 ns/op	   51874 B/op	      93 allocs/op
